ai_mode,fleiss_kappa_score
NoRAG,0.5445777968281182
NoRAG Reorder,0.5606240126382307
NoRAG + NoRAG Reorder,0.5627704145119128
BaseRAG,0.8657151626764888
BaseRAG Reorder,0.8664529914529916
BaseRAG + BaseRAG Reorder,0.8571647196857628
CombinedRAG,0.875043785196562
CombinedRAG Reorder,0.8715578872971429
CombinedRAG + CombinedRAG Reorder,0.8689732782164129
