respondent,accuracy,macro_precision,weighted_precision,macro_recall,weighted_recall,macro_f1,weighted_f1
Human_rad1(CLP),0.7714285714285715,0.8261648745519713,0.7899385560675883,0.8047619047619049,0.7714285714285715,0.810294968189705,0.7750557712963728
Human_rad2(KGY),0.8285714285714286,0.8767676767676768,0.8584415584415584,0.8066666666666666,0.8285714285714286,0.82605710719301,0.8316675211198539
Human_trainee1(CHY),0.5857142857142857,0.700280112044818,0.6176470588235294,0.52,0.5857142857142857,0.5555555555555556,0.5680272108843537
Human_trainee2(SUD),0.7571428571428571,0.8154761904761904,0.7767857142857143,0.8190476190476191,0.7571428571428571,0.8106377053745475,0.7585630743525481
Human_ortho(NYH),0.5857142857142857,0.5833333333333333,0.5972222222222221,0.4552380952380952,0.5857142857142857,0.4174425081562823,0.5438393070286124
NoRAG_Run1,0.5571428571428572,0.6411290322580645,0.6229838709677419,0.3942857142857143,0.5571428571428572,0.3480162449234614,0.47007631543714024
NoRAG_Run2,0.5571428571428572,0.7141242937853107,0.6283292978208233,0.4180952380952381,0.5571428571428572,0.401842129501704,0.48884853748075624
NoRAG_Run3,0.5285714285714286,0.49845916795069334,0.5057781201848999,0.37142857142857144,0.5285714285714286,0.3195429472025217,0.43963188112124285
NoRAG_Run4,0.5428571428571428,0.7084745762711865,0.6198547215496367,0.40857142857142853,0.5428571428571428,0.39474993092014365,0.47821023960841585
NoRAG_Run5,0.5714285714285714,0.5982142857142858,0.5907738095238095,0.4152380952380952,0.5714285714285714,0.38095238095238093,0.5054945054945055
NoRAG_median_run,0.5571428571428572,0.7141242937853107,0.6283292978208233,0.4180952380952381,0.5571428571428572,0.401842129501704,0.48884853748075624
NoRAG_Majority Vote,0.5428571428571428,0.5808936825885979,0.5716486902927581,0.38857142857142857,0.5428571428571428,0.3494877856579984,0.46867612293144206
NoRAG Reorder_Run1,0.5857142857142857,0.626855600539811,0.6159469185784975,0.42476190476190473,0.5857142857142857,0.3897787948131197,0.5169990192873488
NoRAG Reorder_Run2,0.5714285714285714,0.7517564402810305,0.6684509869521579,0.4476190476190476,0.5714285714285714,0.4444444444444444,0.5029761904761904
NoRAG Reorder_Run3,0.5857142857142857,0.728937728937729,0.6483516483516484,0.44476190476190475,0.5857142857142857,0.4353891722312775,0.5279983174720017
NoRAG Reorder_Run4,0.5428571428571428,0.7165300546448088,0.6283665105386417,0.4047619047619047,0.5428571428571428,0.3838383838383838,0.4675324675324675
NoRAG Reorder_Run5,0.6285714285714286,0.7836829836829837,0.7084915084915085,0.5047619047619047,0.6285714285714286,0.5235867446393763,0.5911445279866332
NoRAG Reorder_median_run,0.5857142857142857,0.626855600539811,0.6159469185784975,0.42476190476190473,0.5857142857142857,0.3897787948131197,0.5169990192873488
NoRAG Reorder_Majority Vote,0.5714285714285714,0.7636612021857924,0.6812060889929743,0.4276190476190476,0.5714285714285714,0.41098484848484845,0.4995941558441559
BaseRAG_Run1,0.6285714285714286,0.6261022927689593,0.6483371126228269,0.4847619047619047,0.6285714285714286,0.4832901181215788,0.584825287072478
BaseRAG_Run2,0.6142857142857143,0.7605311355311356,0.6847527472527473,0.46761904761904766,0.6142857142857143,0.4602590392064076,0.5577843209422155
BaseRAG_Run3,0.6142857142857143,0.7763157894736842,0.700187969924812,0.46761904761904766,0.6142857142857143,0.4618986575508314,0.5584148518931127
BaseRAG_Run4,0.6142857142857143,0.7763157894736842,0.700187969924812,0.46761904761904766,0.6142857142857143,0.4618986575508314,0.5584148518931127
BaseRAG_Run5,0.6142857142857143,0.7957157784743992,0.7195476936856249,0.46761904761904766,0.6142857142857143,0.46383186705767354,0.5593841642228738
BaseRAG_median_run,0.6142857142857143,0.7763157894736842,0.700187969924812,0.46761904761904766,0.6142857142857143,0.4618986575508314,0.5584148518931127
BaseRAG_Majority Vote,0.6142857142857143,0.7763157894736842,0.700187969924812,0.46761904761904766,0.6142857142857143,0.4618986575508314,0.5584148518931127
BaseRAG Reorder_Run1,0.6,0.7654127481713688,0.6870801612180922,0.45428571428571435,0.6,0.445313348539155,0.5395428943816041
BaseRAG Reorder_Run2,0.5857142857142857,0.5853146853146852,0.6004995004995005,0.44857142857142857,0.5857142857142857,0.44307992202729046,0.5374269005847954
BaseRAG Reorder_Run3,0.6142857142857143,0.6170163170163171,0.6370629370629372,0.47142857142857136,0.6142857142857143,0.46803118908382063,0.5673350041771095
BaseRAG Reorder_Run4,0.6,0.6071428571428571,0.625,0.45809523809523806,0.6,0.45214995214995213,0.5492030492030492
BaseRAG Reorder_Run5,0.6,0.7654127481713688,0.6870801612180922,0.45428571428571435,0.6,0.445313348539155,0.5395428943816041
BaseRAG Reorder_median_run,0.6,0.6071428571428571,0.625,0.45809523809523806,0.6,0.45214995214995213,0.5492030492030492
BaseRAG Reorder_Majority Vote,0.5857142857142857,0.5962254120148857,0.611870585554796,0.44476190476190475,0.5857142857142857,0.4355877616747182,0.5303657694962043
CombinedRAG_Run1,0.8857142857142857,0.8687258687258687,0.9051296194153338,0.900952380952381,0.8857142857142857,0.8712121212121212,0.8858225108225107
CombinedRAG_Run2,0.9,0.8870408870408871,0.912978912978913,0.9142857142857143,0.9,0.89170692431562,0.9000172532781228
CombinedRAG_Run3,0.9285714285714286,0.9166666666666666,0.9345238095238094,0.940952380952381,0.9285714285714286,0.9249461955485329,0.9290053668237667
CombinedRAG_Run4,0.9,0.8870408870408871,0.912978912978913,0.9142857142857143,0.9,0.89170692431562,0.9000172532781228
CombinedRAG_Run5,0.9571428571428572,0.9511784511784511,0.9592352092352093,0.9638095238095238,0.9571428571428572,0.9561535881958417,0.9571895659672319
CombinedRAG_median_run,0.9,0.8870408870408871,0.912978912978913,0.9142857142857143,0.9,0.89170692431562,0.9000172532781228
CombinedRAG_Majority Vote,0.9285714285714286,0.9166666666666666,0.9345238095238094,0.940952380952381,0.9285714285714286,0.9249461955485329,0.9290053668237667
CombinedRAG Reorder_Run1,0.8714285714285714,0.8861111111111111,0.8886904761904763,0.8876190476190476,0.8714285714285714,0.8754334038054968,0.8688734521292661
CombinedRAG Reorder_Run2,0.9,0.9005847953216374,0.9104010025062657,0.9142857142857143,0.9,0.9006964623402979,0.8993852418509952
CombinedRAG Reorder_Run3,0.9428571428571428,0.9259259259259259,0.9484126984126984,0.9504761904761905,0.9428571428571428,0.9343358669100352,0.9430898738660201
CombinedRAG Reorder_Run4,0.9142857142857143,0.8888777888777889,0.9222277722277722,0.9276190476190477,0.9142857142857143,0.9020131271750144,0.9148011100832563
CombinedRAG Reorder_Run5,0.9285714285714286,0.9174174174174174,0.9356499356499358,0.9371428571428572,0.9285714285714286,0.9221929439320743,0.9281793086140913
CombinedRAG Reorder_median_run,0.9142857142857143,0.8888777888777889,0.9222277722277722,0.9276190476190477,0.9142857142857143,0.9020131271750144,0.9148011100832563
CombinedRAG Reorder_Majority Vote,0.9428571428571428,0.9426699426699426,0.9464724464724465,0.9504761904761905,0.9428571428571428,0.9443318698637847,0.9426231485502002
