,ANSKEY1,Approp Score,count
0,ICI,ICI,7
1,ICI,UNA,3
2,MBA,MBA,8
3,MBA,UNA,4
4,MBA,UA,2
5,UA,UA,18
6,UA,UNA,3
7,UNA,UNA,23
8,UNA,MBA,1
9,UNA,UA,1
