,ANSKEY1,Approp Score,count
0,ICI,ICI,5
1,ICI,UA,4
2,ICI,MBA,1
3,MBA,UA,7
4,MBA,MBA,5
5,MBA,ICI,1
6,MBA,UNA,1
7,UA,UA,20
8,UA,MBA,1
9,UNA,UNA,17
10,UNA,UA,5
11,UNA,MBA,3
