,ANSKEY1,Approp Score,count
0,ICI,ICI,10
1,MBA,UNA,7
2,MBA,UA,5
3,MBA,MBA,2
4,UA,UA,15
5,UA,UNA,5
6,UA,MBA,1
7,UNA,UNA,20
8,UNA,MBA,3
9,UNA,UA,2
