,ANSKEY1,Approp Score,count
0,ICI,UA,5
1,ICI,ICI,4
2,ICI,UNA,1
3,MBA,UA,6
4,MBA,MBA,4
5,MBA,UNA,4
6,UA,UA,17
7,UA,UNA,3
8,UA,MBA,1
9,UNA,UNA,9
10,UNA,MBA,8
11,UNA,UA,8
