,ANSKEY1,Approp Score,count
0,ICI,UNA,6
1,ICI,MBA,2
2,ICI,UA,2
3,MBA,UNA,8
4,MBA,MBA,3
5,MBA,UA,3
6,UA,UA,14
7,UA,UNA,4
8,UA,MBA,3
9,UNA,UNA,16
10,UNA,UA,5
11,UNA,MBA,4
