,ANSKEY1,Approp Score,count
0,ICI,ICI,10
1,UA/MBA,UA/MBA,33
2,UA/MBA,ICI,2
3,UNA,UNA,19
4,UNA,UA/MBA,4
5,UNA,ICI,2
