,ANSKEY1,Approp Score,count
0,ICI,ICI,9
1,ICI,UNA,1
2,UA/MBA,UA/MBA,25
3,UA/MBA,UNA,10
4,UNA,UNA,20
5,UNA,UA/MBA,5
