,ANSKEY1,Approp Score,count
0,ICI,ICI,5
1,ICI,UA/MBA,5
2,UA/MBA,UA/MBA,33
3,UA/MBA,ICI,1
4,UA/MBA,UNA,1
5,UNA,UNA,17
6,UNA,UA/MBA,8
