,ANSKEY1,Approp Score,count
0,ICI,ICI,10
1,MBA,MBA,10
2,MBA,ICI,2
3,MBA,UA,2
4,UA,UA,20
5,UA,MBA,1
6,UNA,UNA,19
7,UNA,UA,3
8,UNA,ICI,2
9,UNA,MBA,1
