,ANSKEY1,Approp Score,count
0,ICI,ICI,9
1,ICI,UNA,1
2,MBA,UNA,6
3,MBA,MBA,4
4,MBA,UA,4
5,UA,UA,15
6,UA,UNA,4
7,UA,MBA,2
8,UNA,UNA,20
9,UNA,UA,4
10,UNA,MBA,1
