,ANSKEY1,Approp Score,count
0,ICI,ICI,7
1,ICI,UNA,3
2,UA/MBA,UA/MBA,28
3,UA/MBA,UNA,7
4,UNA,UNA,23
5,UNA,UA/MBA,2
