,ANSKEY1,Approp Score,count
0,ICI,UA/MBA,5
1,ICI,ICI,4
2,ICI,UNA,1
3,UA/MBA,UA/MBA,28
4,UA/MBA,UNA,7
5,UNA,UA/MBA,16
6,UNA,UNA,9
