,ANSKEY1,Approp Score,count
0,ICI,UNA,6
1,ICI,UA/MBA,4
2,UA/MBA,UA/MBA,23
3,UA/MBA,UNA,12
4,UNA,UNA,16
5,UNA,UA/MBA,9
