,participant,accuracy,precision,recall,f1,,No LLM,Difference
0,CHY,78.57%,87.19%,74.76%,78.76%,,77.14%,1.43%
1,CLP,90.00%,91.93%,92.19%,92.04%,,82.86%,7.14%
2,Gita,84.29%,88.96%,86.76%,86.65%,,58.57%,25.72%
3,Sud,84.29%,87.78%,88.38%,87.69%,,75.71%,8.58%
4,YH,82.86%,86.81%,85.05%,85.52%,,55.71%,27.15%
