,respondent,lci,uci,accuracy
0,ai,0.7903577841784561,0.9409387105336235,0.8656482473560398
1,CHY_noai,0.46881211784560456,0.6936982143126355,0.58125516607912
2,CHY_withai,0.676088137365211,0.8656129698289221,0.7708505535970666
3,CLP_noai,0.6604966840601508,0.8541193677742757,0.7573080259172132
4,CLP_withai,0.807670851514326,0.9507106985574605,0.8791907750358933
5,Gita_noai,0.7238335196785457,0.8991227535947075,0.8114781366366266
6,Gita_withai,0.7401175342315778,0.909923794401382,0.8250206643164799
7,Sud_noai,0.6450496077036256,0.8424813887710942,0.7437654982373599
8,Sud_withai,0.7401175342315778,0.909923794401382,0.8250206643164799
9,YH_noai,0.44083551053187997,0.6675047109069467,0.5541701107194134
10,YH_withai,0.7238335196785457,0.8991227535947075,0.8114781366366266
