table_desc_meta,table_full
0.284774655,0.291740656
0.253537856,0.2654939
0.277453482,0.287505925
0.30404672,0.315920323
0.300570488,0.300583661
0.28756094,0.284448415
0.302092075,0.291263759
0.262087166,0.254428267
0.22744745,0.221493065
0.260406137,0.269703746
0.367104232,0.38413012
0.300214052,0.30567199
0.261569351,0.291106761
0.264544725,0.276209772
0.290391743,0.298131227
0.311954588,0.305931628
0.293272972,0.290841043
0.351239026,0.382017612
0.323390186,0.32719934
0.342097193,0.333235562
0.317179352,0.319277138
0.286556304,0.293804705
0.269899875,0.300486147
0.316165328,0.339141309
0.300298274,0.318718314
0.272188097,0.283972263
0.305692017,0.308444262
0.306727111,0.324677885
0.30554992,0.325072765
0.326864988,0.344926238
0.267017007,0.293620884
0.290701717,0.303603351
0.268865138,0.301235825
0.242644906,0.261897206
0.294278741,0.308959365
0.292258561,0.315473139
0.285504571,0.292120606
0.254279457,0.285715461
0.275857097,0.305778027
0.265049293,0.272341043
0.288365648,0.301635027
0.301440907,0.302614808
0.336056113,0.356315255
0.299758223,0.307870209
0.292033255,0.300253391
0.345495194,0.344656229
0.296006593,0.311761886
0.290960457,0.310760438
0.377013225,0.409430206
0.312423878,0.323244005
0.298576176,0.290810406
0.307577264,0.318450332
0.286745614,0.292128623
0.258238597,0.267171681
0.298278367,0.303212762
0.359590246,0.351720542
0.29729546,0.317655325
0.379105655,0.398535788
0.27324842,0.297327071
0.248857841,0.278684139
0.293560356,0.294869244
0.335043312,0.289244294
0.272680938,0.26467225
0.320065022,0.278479874
0.372203611,0.349868476
0.274559526,0.252932429
0.291070757,0.258884192
0.292693614,0.27592963
0.294969955,0.290641278
0.313687682,0.320385218
0.327899456,0.321327686
0.289884925,0.295552969
0.281103165,0.27507484
0.285888255,0.292595953
0.346171975,0.353693008
0.329305202,0.344354391
0.290391833,0.31765762
0.305229957,0.305277586
0.284851909,0.284316629
0.246199355,0.250102878
0.308293462,0.305684596
0.371723145,0.385414809
0.309493184,0.310545146
0.262608171,0.29823482
0.287644148,0.302171767
0.294935971,0.299915224
0.313780427,0.32255733
0.304130137,0.293200344
0.377770871,0.38268292
0.349229217,0.362587333
0.350599468,0.371288002
0.326676905,0.331775308
0.32570231,0.334038943
0.278754145,0.302899122
0.336571813,0.346776277
0.310438812,0.324735284
0.276299119,0.28792116
0.325874688,0.324849904
0.312189192,0.325583428
0.306605041,0.325440347
0.330352485,0.346767426
0.291636854,0.2956146
0.293375105,0.305708885
0.288629144,0.321086287
0.275838345,0.284755051
0.307275355,0.31296429
0.301240981,0.320972979
0.295834854,0.310626537
0.273324577,0.291304737
0.278997839,0.312838584
0.283575784,0.301717579
0.29417351,0.307784408
0.315831405,0.310402811
0.350632995,0.356730342
0.308752046,0.327230632
0.293742299,0.311733067
0.359407127,0.361735463
0.299885638,0.324324965
0.303559615,0.317928553
0.38999236,0.410615265
0.314508348,0.323462367
0.311918736,0.302377254
0.330590491,0.340240479
0.287080348,0.295111984
0.273973946,0.272708535
0.313989998,0.326781839
0.360273194,0.357445121
0.309179272,0.320108354
0.379715962,0.398952633
0.278888073,0.299364805
0.261195928,0.292953908
0.295486331,0.299941689
0.349164426,0.29093641
0.309080869,0.27646789
0.322473407,0.296703815
0.373738546,0.360224575
0.280337262,0.255028337
0.292125541,0.268589348
0.336446583,0.308155835
0.298202634,0.319318563
0.323941737,0.33120665
0.34288165,0.323369563
0.29525578,0.304685265
0.284830893,0.282980323
0.303397357,0.30309087
0.349440813,0.35927403
0.342131317,0.346060693
0.305414796,0.318655998
0.307375818,0.311598718
0.288550943,0.28528744
0.270178437,0.264001012
0.312209994,0.311081558
0.376921505,0.385988981
0.31447494,0.322856009
0.266960919,0.306979299
0.288206369,0.318996966
0.29839772,0.303283751
0.316703528,0.325150371
0.318993777,0.299370378
0.380498886,0.392329782
0.351366282,0.365389824
0.350973755,0.371412784
0.347132057,0.338014662
0.327462852,0.359506458
0.296852499,0.304342687
0.348254591,0.374873608
0.310475409,0.337955385
0.289671779,0.297898412
0.331420749,0.326119483
0.317949533,0.339160502
0.307062864,0.332623959
0.330720782,0.350613415
0.292805582,0.302688628
0.306989998,0.307947159
0.299380243,0.32126987
0.295278906,0.286089391
0.310372233,0.321335375
0.304882845,0.325062752
0.300572416,0.314506561
0.283213124,0.297891796
0.286419271,0.315796465
0.303296328,0.303742379
0.294296857,0.318985939
0.31733975,0.311192334
0.35392531,0.357877135
0.319934117,0.333063066
0.300059378,0.312129498
0.359868377,0.36173892
0.315498477,0.324902564
0.315787028,0.326219797
0.394551813,0.413014829
0.33927235,0.329437792
0.312125891,0.31268099
0.337949594,0.341911495
0.330927372,0.330529809
0.274370726,0.273527175
0.320864141,0.327424049
0.363184781,0.36600247
0.312071323,0.322818846
0.385361257,0.403299809
0.285461003,0.308577448
0.26515311,0.295039713
0.31172356,0.303739369
0.350127846,0.299649656
0.318811983,0.279547721
0.329532325,0.307307392
0.375664205,0.360906303
0.291754067,0.256472886
0.295504565,0.272071749
0.344752133,0.320453048
0.309904367,0.323089421
